id,vrsta,naziv,tip_ucinka,cilj,vjerojatnost_prije,vjerojatnost_nakon,minimum_prije,minimum_nakon,najvjerojatnije_prije,najvjerojatnije_nakon,maksimum_prije,maksimum_nakon,odgovor
T1,Prijetnja,Nizak odaziv dionika,glavni,A1.1,0.45,0.315,0.5,0.35,1.0,0.7,2.0,1.4,"Više kanala za uključivanje dionika, raniji pozivi i kombiniranje kvantitativnih i kvalitativnih metoda."
T1,Prijetnja,Nizak odaziv dionika,dodatni,A1.2,0.45,0.315,0.25,0.175,0.5,0.35,1.0,0.7,"Više kanala za uključivanje dionika, raniji pozivi i kombiniranje kvantitativnih i kvalitativnih metoda."
T2,Prijetnja,Neusklađenost konceptualnog modela,glavni,A2.1,0.15,0.105,0.5,0.35,1.5,1.05,3.0,2.1,"Radionice zajedničkog oblikovanja, iterativna provjera zahtjeva i rana validacija koncepta."
T3,Prijetnja,Poteškoće integracije i kvalitete podataka,glavni,A3.1,0.45,0.315,1.0,0.7,2.0,1.4,4.0,2.8,"Rana provjera kvalitete i formata podataka, standardizacija, integracijsko testiranje i zamjenski scenariji djelomične integracije."
T3,Prijetnja,Poteškoće integracije i kvalitete podataka,dodatni,A4.1,0.45,0.315,0.5,0.35,1.0,0.7,2.0,1.4,"Rana provjera kvalitete i formata podataka, standardizacija, integracijsko testiranje i zamjenski scenariji djelomične integracije."
T4,Prijetnja,Niska prihvaćenost nadzornih ploča,glavni,A3.2,0.45,0.315,0.5,0.35,1.0,0.7,2.0,1.4,"Rano uključivanje pilot-korisnika, edukacija, tehnička podrška i iterativno testiranje korisničkog iskustva."
T4,Prijetnja,Niska prihvaćenost nadzornih ploča,dodatni,A4.1,0.45,0.315,0.25,0.175,0.5,0.35,1.0,0.7,"Rano uključivanje pilot-korisnika, edukacija, tehnička podrška i iterativno testiranje korisničkog iskustva."
T5,Prijetnja,Nedovoljna pouzdanost AI modela,glavni,A4.1,0.45,0.315,1.0,0.7,2.0,1.4,4.0,2.8,"Jasni kriteriji performansi, ponovno treniranje i prilagodba modela, objašnjiva AI, ljudski nadzor te dodatna evaluacija i validacija."
T5,Prijetnja,Nedovoljna pouzdanost AI modela,dodatni,A3.2,0.45,0.315,0.25,0.175,0.5,0.35,1.0,0.7,"Jasni kriteriji performansi, ponovno treniranje i prilagodba modela, objašnjiva AI, ljudski nadzor te dodatna evaluacija i validacija."
T6,Prijetnja,Kašnjenje publikacija i projektnih prijava,glavni,A5.2,0.45,0.315,0.25,0.175,0.5,0.35,1.5,1.05,"Paralelna priprema publikacija i prijava, više ciljnih kanala te ranije planiranje rokova diseminacije."
T7,Prijetnja,Nejasno tržišno pozicioniranje ili potražnja,glavni,A5.1,0.15,0.105,0.25,0.175,0.75,0.525,1.5,1.05,"Rana analiza tržišta i konkurencije, uključivanje partnerskih mreža i iterativna prilagodba poslovnog modela."
T8,Prijetnja,Problemi koordinacije projekta,glavni,A2.1,0.15,0.105,0.1,0.07,0.2,0.14,0.4,0.28,"Redoviti koordinacijski sastanci, praćenje odluka, jasne odgovornosti i pravodobna eskalacija zastoja."
T8,Prijetnja,Problemi koordinacije projekta,dodatni,A3.1,0.15,0.105,0.1,0.07,0.25,0.175,0.5,0.35,"Redoviti koordinacijski sastanci, praćenje odluka, jasne odgovornosti i pravodobna eskalacija zastoja."
T8,Prijetnja,Problemi koordinacije projekta,dodatni,A3.2,0.15,0.105,0.1,0.07,0.25,0.175,0.5,0.35,"Redoviti koordinacijski sastanci, praćenje odluka, jasne odgovornosti i pravodobna eskalacija zastoja."
T8,Prijetnja,Problemi koordinacije projekta,dodatni,A4.1,0.15,0.105,0.1,0.07,0.25,0.175,0.5,0.35,"Redoviti koordinacijski sastanci, praćenje odluka, jasne odgovornosti i pravodobna eskalacija zastoja."
T8,Prijetnja,Problemi koordinacije projekta,dodatni,A5.1,0.15,0.105,0.1,0.07,0.3,0.21,0.6,0.42,"Redoviti koordinacijski sastanci, praćenje odluka, jasne odgovornosti i pravodobna eskalacija zastoja."
T8,Prijetnja,Problemi koordinacije projekta,dodatni,A5.2,0.15,0.105,0.1,0.07,0.3,0.21,0.6,0.42,"Redoviti koordinacijski sastanci, praćenje odluka, jasne odgovornosti i pravodobna eskalacija zastoja."
T9,Prijetnja,Nedovoljna skalabilnost prototipa,glavni,A3.2,0.15,0.105,1.0,0.7,2.0,1.4,4.0,2.8,"Modularni dizajn, rano testiranje opterećenja i interoperabilnosti te plan skaliranja prije završne validacije."
T9,Prijetnja,Nedovoljna skalabilnost prototipa,dodatni,A3.1,0.15,0.105,0.5,0.35,1.0,0.7,2.0,1.4,"Modularni dizajn, rano testiranje opterećenja i interoperabilnosti te plan skaliranja prije završne validacije."
P1,Prilika,Ranija dostupnost tržišnih i partnerskih podataka,glavni,A5.1,0.45,0.585,0.25,0.25,0.5,0.5,1.0,1.0,"Aktivno i ranije uključivanje partnera te pravodobno dijeljenje tržišnih, stručnih i kontaktnih informacija."
P1,Prilika,Ranija dostupnost tržišnih i partnerskih podataka,dodatni,A5.2,0.45,0.585,0.1,0.1,0.25,0.25,0.5,0.5,"Aktivno i ranije uključivanje partnera te pravodobno dijeljenje tržišnih, stručnih i kontaktnih informacija."
